fileName;cell_line;protein;exp_group;exp_date;image_number;manual_quality_check;dimension_x;dimension_y;number_of_nuclei;color_of_second_protein_in_nuclei;number_of_nuclei_with_second_protein;color_of_third_protein_in_cytosol;number_of_cells_with_third_protein;intensity_sum_full_red;intensity_sum_full_green;intensity_sum_full_blue;intensity_sum_nucleus_region_red;intensity_sum_nucleus_region_green;intensity_sum_nucleus_region_blue;intensity_sum_full_without_nucleus_region_red;intensity_sum_full_without_nucleus_region_green;intensity_sum_full_without_nucleus_region_blue;intensity_sum_cytosol_region_red;intensity_sum_cytosol_region_green;intensity_sum_cytosol_region_blue;intensity_sum_foreground_red;intensity_sum_foreground_green;intensity_sum_foreground_blue;intensity_sum_foreground_without_nucleus_region_red;intensity_sum_foreground_without_nucleus_region_green;intensity_sum_foreground_without_nucleus_region_blue;intensity_mean_background_red;intensity_mean_background_green;intensity_mean_background_blue;number_of_total_pixels;number_of_pixels_nucleus_region;number_of_pixels_foreground;number_of_pixels_foreground_without_nucleus_region;number_of_clusters;mean_cluster_size;median_cluster_size;image_cropped
A431_IkBa_120s_20230426_1.czi;A431;IkBa;120s;26.04.2023;1;NA;1024;1024;71;green;26;red;5;55474,26274509800;40548,09019607839;23626,53333333332;17459,4549019607839;11244,784313725489;15828,9411764705892;38014,80784313723;29303,30588235292;7797,592156862740;51724,47450980390;34927,80392156861;20405,32549019607;52520,66274509801;35837,90196078429;22519,62352941175;33437,22745098038;23528,00784313725;5371,474509803920;2,81677246093749e-03;0,004491986;1,05563145057827e-03;1048576;63261;238597;175482;0;NA;NA;no
A431_IkBa_120s_20230426_10.czi;A431;IkBa;120s;26.04.2023;10;NA;1024;1024;91;green;19;red;3;47518,48235294112;46865,85098039210;32759,34901960782;14662,7490196078415;13204,827450980390;22211,2941176470486;32855,73333333332;33661,02352941174;10548,054901960775;44436,52156862740;41904,55686274506;28067,58039215685;45395,87058823525;43210,59215686269;30996,18039215684;29335,90980392155;28631,31764705881;7224,999999999996;2,02428032370174e-03;0,003485926;1,68148863549325e-03;1048576;81437;275656;194697;0;NA;NA;no
A431_IkBa_120s_20230426_2.czi;A431;IkBa;120s;26.04.2023;2;NA;1024;1024;103;green;37;red;8;76213,62745098033;80165,87058823530;35832,42745098037;20849,1333333333314;20393,219607843133;24230,6941176470573;55364,49411764704;59772,65098039212;11601,733333333324;69206,79215686271;69648,11372549016;28386,56078431371;71391,90588235289;72285,38039215680;34039,19607843136;46979,11372549018;48333,69803921568;7711,678431372546;4,59835202086205e-03;0,007515421;1,71015870337392e-03;1048576;89549;280321;191375;0;NA;NA;no
A431_IkBa_120s_20230426_3.czi;A431;IkBa;120s;26.04.2023;3;NA;1024;1024;118;green;41;red;21;67783,17254901955;66995,00784313722;37612,62745098036;20399,7803921568557;18490,345098039212;26741,7137254901827;47383,39215686270;48504,66274509798;10870,913725490183;61029,67843137248;58044,85098039209;31677,24705882351;63284,85098039208;60547,31764705875;35958,24313725487;41910,30588235291;41131,39607843134;8025,266666666663;4,28993374693627e-03;0,006148997;1,57774382946538e-03;1048576;99092;298458;200107;0;NA;NA;no
A431_IkBa_120s_20230426_4.czi;A431;IkBa;120s;26.04.2023;4;NA;1024;1024;53;green;8;red;5;26499,61176470587;32084,39215686272;19771,27450980390;7027,1882352941175;6910,454901960785;13282,9333333333343;19472,42352941176;25173,93725490194;6488,341176470582;25324,10980392156;26869,90980392156;16755,68235294117;25848,86666666666;28455,94117647057;18759,47058823528;18081,70588235294;20799,68627450980;4477,062745098037;6,20598886527267e-04;0,003460361;9,64931413239123e-04;1048576;54070;255827;202019;0;NA;NA;no
A431_IkBa_120s_20230426_5.czi;A431;IkBa;120s;26.04.2023;5;NA;1024;1024;62;green;25;red;13;30068,78431372548;32176,85490196077;17432,09803921568;8981,2000000000007;8503,921568627451;11698,4313725490192;21087,58431372549;23672,93333333332;5733,666666666663;29207,26666666666;29484,14117647058;15303,57254901961;29343,51372549019;29957,89803921567;16626,69411764705;19800,10980392156;20869,78039215686;4107,196078431371;6,91671932444852e-04;0,002116162;7,68093034332874e-04;1048576;52626;204251;151677;0;NA;NA;no
A431_IkBa_120s_20230426_6.czi;A431;IkBa;120s;26.04.2023;6;NA;1024;1024;107;green;28;red;10;69038,69803921563;69219,44705882347;31446,68627450978;17686,7803921568593;16159,184313725489;20435,4627450980333;51351,91764705878;53060,26274509799;11011,223529411754;62241,78039215680;59811,97254901955;25183,23921568626;65092,45490196071;63309,98431372543;30090,92549019605;45148,32941176469;44936,19215686273;7567,729411764702;3,76343072629442e-03;0,005635703;1,29295423919079e-03;1048576;95044;306937;212473;0;NA;NA;no
A431_IkBa_120s_20230426_7.czi;A431;IkBa;120s;26.04.2023;7;NA;1024;1024;115;green;68;red;15;69632,76470588232;75527,45098039221;40314,26666666663;22337,5843137254888;22454,309803921569;28801,2627450980399;47295,18039215683;53073,14117647055;11513,003921568616;64155,77647058818;66595,90980392152;34214,53333333333;66268,57254901955;69636,65098039212;38485,29019607841;42764,29019607841;46004,16862745096;8433,180392156859;3,20834365545533e-03;0,005617905;1,74424788531135e-03;1048576;97064;296855;200741;0;NA;NA;no
A431_IkBa_120s_20230426_8.czi;A431;IkBa;120s;26.04.2023;8;NA;1024;1024;126;green;66;red;20;94989,10980392164;97741,08627451000;58818,85490196072;30679,6196078431312;29436,925490196070;40492,7098039215489;64309,49019607840;68304,16078431372;18326,145098039200;87833,97647058823;87015,94117647059;48733,79999999996;89820,69411764707;89773,69411764707;56065,79607843132;56612,60784313724;57990,50980392154;12671,588235294112;4,92898529651118e-03;0,007598297;2,62552149155560e-03;1048576;107977;322523;216170;0;NA;NA;no
A431_IkBa_120s_20230426_9.czi;A431;IkBa;120s;26.04.2023;9;NA;1024;1024;108;green;31;red;13;64504,52549019601;71833,72549019608;43947,94509803918;20655,8156862745091;20703,109803921565;30094,6117647058818;43848,70980392155;51130,61568627447;13853,333333333325;59296,19215686269;62978,56078431367;36713,65098039214;61317,87058823524;65723,82352941170;41652,29019607840;39172,28235294117;43526,96862745097;9175,725490196071;3,03903093525008e-03;0,005826857;2,18930711933210e-03;1048576;98145;310572;213998;0;NA;NA;no
