fileName,cell_line,protein,exp_group,exp_date,image_number,manual_quality_check,dimension_x,dimension_y,number_of_nuclei,color_of_second_protein_in_nuclei,number_of_nuclei_with_second_protein,color_of_third_protein_in_cytosol,number_of_cells_with_third_protein,intensity_sum_full_red,intensity_sum_full_green,intensity_sum_full_blue,intensity_sum_nucleus_region_red,intensity_sum_nucleus_region_green,intensity_sum_nucleus_region_blue,intensity_sum_full_without_nucleus_region_red,intensity_sum_full_without_nucleus_region_green,intensity_sum_full_without_nucleus_region_blue,intensity_sum_cytosol_region_red,intensity_sum_cytosol_region_green,intensity_sum_cytosol_region_blue,intensity_sum_foreground_red,intensity_sum_foreground_green,intensity_sum_foreground_blue,intensity_sum_foreground_without_nucleus_region_red,intensity_sum_foreground_without_nucleus_region_green,intensity_sum_foreground_without_nucleus_region_blue,intensity_mean_background_red,intensity_mean_background_green,intensity_mean_background_blue,number_of_total_pixels,number_of_pixels_nucleus_region,number_of_pixels_foreground,number_of_pixels_foreground_without_nucleus_region,number_of_clusters,mean_cluster_size,median_cluster_size,image_cropped
A431_IkBa_120s_20230426_1.czi,A431,IkBa,120s,2023-04-26,1,NA,1024,1024,71,green,26,red,5,55474.262745098,40548.0901960784,23626.5333333333,17459.4549019608,11244.7843137255,15828.9411764706,38014.8078431372,29303.3058823529,7797.59215686274,51724.4745098039,34927.8039215686,20405.3254901961,52520.662745098,35837.9019607843,22519.6235294118,33437.2274509804,23528.0078431372,5371.47450980392,0.002816772460937,0.004491985545439,0.001055631450578,1048576,63261,238597,175482,0,NA,NA,no
A431_IkBa_120s_20230426_10.czi,A431,IkBa,120s,2023-04-26,10,NA,1024,1024,91,green,19,red,3,47518.4823529411,46865.8509803921,32759.3490196078,14662.7490196078,13204.8274509804,22211.294117647,32855.7333333333,33661.0235294117,10548.0549019608,44436.5215686274,41904.5568627451,28067.5803921568,45395.8705882353,43210.5921568627,30996.1803921568,29335.9098039216,28631.3176470588,7225,0.002024280323702,0.003485926459817,0.001681488635493,1048576,81437,275656,194697,0,NA,NA,no
A431_IkBa_120s_20230426_2.czi,A431,IkBa,120s,2023-04-26,2,NA,1024,1024,103,green,37,red,8,76213.6274509803,80165.8705882353,35832.4274509804,20849.1333333333,20393.2196078431,24230.6941176471,55364.494117647,59772.6509803921,11601.7333333333,69206.7921568627,69648.1137254902,28386.5607843137,71391.9058823529,72285.3803921568,34039.1960784314,46979.1137254902,48333.6980392157,7711.67843137255,0.004598352020862,0.007515421100691,0.001710158703374,1048576,89549,280321,191375,0,NA,NA,no
A431_IkBa_120s_20230426_3.czi,A431,IkBa,120s,2023-04-26,3,NA,1024,1024,118,green,41,red,21,67783.1725490196,66995.0078431372,37612.6274509804,20399.7803921569,18490.3450980392,26741.7137254902,47383.3921568627,48504.662745098,10870.9137254902,61029.6784313725,58044.8509803921,31677.2470588235,63284.8509803921,60547.3176470588,35958.2431372549,41910.3058823529,41131.3960784313,8025.26666666666,0.004289933746936,0.006148996540144,0.001577743829465,1048576,99092,298458,200107,0,NA,NA,no
A431_IkBa_120s_20230426_4.czi,A431,IkBa,120s,2023-04-26,4,NA,1024,1024,53,green,8,red,5,26499.6117647059,32084.3921568627,19771.2745098039,7027.18823529412,6910.45490196079,13282.9333333333,19472.4235294118,25173.9372549019,6488.34117647058,25324.1098039216,26869.9098039216,16755.6823529412,25848.8666666667,28455.9411764706,18759.4705882353,18081.7058823529,20799.6862745098,4477.06274509804,0.000620598886527,0.003460360508339,0.000964931413239,1048576,54070,255827,202019,0,NA,NA,no
A431_IkBa_120s_20230426_5.czi,A431,IkBa,120s,2023-04-26,5,NA,1024,1024,62,green,25,red,13,30068.7843137255,32176.8549019608,17432.0980392157,8981.2,8503.92156862745,11698.431372549,21087.5843137255,23672.9333333333,5733.66666666666,29207.2666666667,29484.1411764706,15303.5725490196,29343.5137254902,29957.8980392157,16626.6941176471,19800.1098039216,20869.7803921569,4107.19607843137,0.000691671932445,0.002116162169213,0.000768093034333,1048576,52626,204251,151677,0,NA,NA,no
A431_IkBa_120s_20230426_6.czi,A431,IkBa,120s,2023-04-26,6,NA,1024,1024,107,green,28,red,10,69038.6980392156,69219.4470588235,31446.6862745098,17686.7803921569,16159.1843137255,20435.462745098,51351.9176470588,53060.262745098,11011.2235294118,62241.7803921568,59811.9725490195,25183.2392156863,65092.4549019607,63309.9843137254,30090.9254901961,45148.3294117647,44936.1921568627,7567.7294117647,0.003763430726294,0.00563570284376,0.001292954239191,1048576,95044,306937,212473,0,NA,NA,no
A431_IkBa_120s_20230426_7.czi,A431,IkBa,120s,2023-04-26,7,NA,1024,1024,115,green,68,red,15,69632.7647058823,75527.4509803922,40314.2666666666,22337.5843137255,22454.3098039216,28801.262745098,47295.1803921568,53073.1411764705,11513.0039215686,64155.7764705882,66595.9098039215,34214.5333333333,66268.5725490196,69636.6509803921,38485.2901960784,42764.2901960784,46004.168627451,8433.18039215686,0.003208343655455,0.005617904663086,0.001744247885311,1048576,97064,296855,200741,0,NA,NA,no
A431_IkBa_120s_20230426_8.czi,A431,IkBa,120s,2023-04-26,8,NA,1024,1024,126,green,66,red,20,94989.1098039216,97741.08627451,58818.8549019607,30679.6196078431,29436.9254901961,40492.7098039216,64309.4901960784,68304.1607843137,18326.1450980392,87833.9764705882,87015.9411764706,48733.8,89820.6941176471,89773.6941176471,56065.7960784313,56612.6078431372,57990.5098039215,12671.5882352941,0.004928985296511,0.007598297268737,0.002625521491556,1048576,107977,322523,216170,0,NA,NA,no
A431_IkBa_120s_20230426_9.czi,A431,IkBa,120s,2023-04-26,9,NA,1024,1024,108,green,31,red,13,64504.525490196,71833.7254901961,43947.9450980392,20655.8156862745,20703.1098039216,30094.6117647059,43848.7098039216,51130.6156862745,13853.3333333333,59296.1921568627,62978.5607843137,36713.6509803921,61317.8705882352,65723.8235294117,41652.2901960784,39172.2823529412,43526.968627451,9175.72549019607,0.00303903093525,0.00582685657576,0.002189307119332,1048576,98145,310572,213998,0,NA,NA,no
A431_IkBa_120s_20230615_1.czi,A431,IkBa,120s,2023-06-15,1,NA,1024,1024,85,green,7,red,7,36280.4235294117,28777.8470588235,18545.6588235294,11925.4431372549,7984.10980392157,13104.7921568627,24354.9803921568,20793.7372549019,5440.86666666667,32716.8705882353,22941.462745098,17886.0196078431,32463.0274509804,22944.6431372549,18275.0470588235,18584.3058823529,13637.6745098039,3269.30196078431,0.00364055259555,0.00556297676236,0.000258075489717,1048576,58259,158764,100669,0,NA,NA,no
A431_IkBa_120s_20230615_2.czi,A431,IkBa,120s,2023-06-15,2,NA,1024,1024,102,green,2,red,15,34570.2392156862,32638.6352941176,25320.0745098039,9864.41568627451,8303.40784313725,17058.168627451,24705.8235294117,24335.2274509804,8261.90588235294,30521.9490196078,26334.1882352941,23786.7333333333,30620.2509803921,26699.9176470588,24787.7803921569,18631.4274509804,16604.1764705882,4986.59215686275,0.003767002330107,0.005663602492389,0.000507635228774,1048576,75248,204804,129890,0,NA,NA,no
A431_IkBa_120s_20230615_3.czi,A431,IkBa,120s,2023-06-15,3,NA,1024,1024,121,green,8,red,13,67469.9803921568,52570.2745098038,30031.5254901961,20228.5529411765,14618.0666666667,21949.0862745098,47241.4274509804,37952.2078431372,8082.43921568627,53916.4156862745,38837.0705882353,24565.8431372549,57842.9294117647,42184.662745098,29213.5529411765,34591.6941176471,25571.8392156863,5217.67450980392,0.009181071262734,0.009904491200167,0.000780079411525,1048576,90363,228774,139207,0,NA,NA,no
A431_IkBa_120s_20230615_4.czi,A431,IkBa,120s,2023-06-15,4,NA,1024,1024,98,green,8,red,21,37175.7411764705,34255.5294117647,23524.6470588235,11953.2078431373,9769.23921568627,17433.8352941176,25222.5333333333,24486.2901960784,6090.81176470588,32044.0470588235,26621.2980392157,21318.3450980392,32437.2078431372,27280.3764705882,22940.7176470588,19364.8823529412,16606.7568627451,4277.09019607843,0.004519017537435,0.006652024213006,0.000556878482594,1048576,70474,193556,123477,0,NA,NA,no
A431_IkBa_120s_20230615_5.czi,A431,IkBa,120s,2023-06-15,5,NA,1024,1024,132,green,5,red,37,38949.3999999999,35344.7215686274,26457.9254901961,10763.0392156863,9536.41960784314,19172.1960784314,28186.3607843137,25808.3019607843,7285.7294117647,31830.1137254902,27028.3529411764,21771.7803921569,33758.6196078431,28980.3607843137,25899.2666666666,21489.5882352941,18175.7725490196,5049.43137254902,0.004950313942105,0.006069527420343,0.000532778571634,1048576,91541,249362,158186,0,NA,NA,no
A431_IkBa_120s_20230623_1.czi,A431,IkBa,120s,2023-06-23,1,NA,1024,1024,57,green,0,red,5,18036.9215686274,14477.4431372549,22509.7568627451,5606.43137254902,3870.31764705882,19753.1137254902,12430.4901960784,10607.1254901961,2756.6431372549,15902.2705882353,10870.4196078431,20377.2352941176,16370.6823529412,11396.1176470588,22303.1725490196,10188.6549019608,7259.34509803922,2109.3568627451,0.001589049544989,0.002938580980488,0.000197014154172,1048576,48409,147614,99322,0,NA,NA,no
